Name,Prize,Uni
“劳动开创未来”：新时代中国大学生劳动教育现状与路径优化研究——基于全国105所高校的实证调查,0,浙江师范大学
仿生有序交联碳化钛的制备及性能研究,0,北京航空航天大学
低碾压智能化再生稻收获技术与装备,0,江苏大学
可变超宽幅面多介质打印机,0,浙江大学
融合大数据的疫情预测分析模型与平台,0,北京航空航天大学
高性能锂硫电池正极活性电解液添加剂的开发,0,清华大学
“猎鹰”——基于鹰捕猎机理的无人机反制系统,0,北京理工大学
基于电子动态调控的飞秒激光制孔新技术及应用,0,北京理工大学
川藏跨天堑，知产绣锦图——川藏铁路建设中的知识产权风险调查研究,0,华东交通大学
牙颌建筑师——三维血管化组织工程骨及一体化仿生种植牙在颌骨重建中的应用,0,浙江大学
锂二氧化碳电池高效均相催化剂及机理研究,0,上海交通大学
基于Hz级电磁波的井下远距离无线通信装置,0,华中科技大学
“天格计划”二号卫星载荷标定与在轨科学观测,0,清华大学
从“培育”到“铸牢”——大学生中华民族共同体意识的调查与教育实践研究,0,上海师范大学
基于对比自监督学习的复杂场景下中国手语实时翻译系统,0,天津理工大学
新时代劳动教育何以落地生根？——基于7省市初中生劳动素养及其培养现状的调查研究,0,南京师范大学
防治植物病害的“青霉素”——白蚁共生菌来源的新型农用杀菌剂研究,0,安徽农业大学
废塑料微波快速催化热解制备石脑油装备的研发,0,南昌大学
民心聚力，古厝新生：村落传统民居自助式保护模式的构建研究——基于福建永泰八村百厝调研,0,福州大学
柔性透明电极结构的精确调控及可赋形太阳能电池研制,0,苏州大学
探寻新中国工业化的精神动力——工业建设者劳动传统的形塑与传承,0,南京大学
西藏野生兰科植物资源增补及名录修订,0,西藏农牧学院
自由贸易区何以助推数字经济发展？——基于中韩（盐城）产业园的调研,0,南京师范大学
苍穹之心——微型涡喷发动机智能控制器,0,西北工业大学
月面国旗研制技术及衍生功能化制品的开发,0,武汉纺织大学
新冠肺炎疫情下大学生心理危机的监测与防控——基于广东省22所高校的三阶段调研,0,华南师范大学
新就业形态新在何处——基于实地访谈和CSS数据的新就业形态劳动者工作境况及收入差异研究,0,中国社会科学院大学
心相瓣——基于自由基聚合交联的可预装人工主动脉瓣,0,四川大学
新型噬菌体的发现及噬菌体饲料添加剂的研发,0,济南大学
棉田棉秆残膜联合收获机——拔杆伏“魔”助棉白,0,长江大学
中国市场营商环境调查与优化——基于义乌小商品市场4年4000余份调研问卷的分析,0,南开大学
类风湿性关节炎诊断标志物及防治药物的筛选和临床应用,0,温州医科大学
基因快速检测技术的开发及其应用,0,大连理工大学
精密高效传动瞬态摩擦学调控技术,0,四川大学
从“工业锈带”到“生活秀带”——以西安为例探寻融入城市演进的工业遗产活化新模式,0,西安建筑科技大学
“微腐败”对乡村营商环境的影响及对策研究——基于甘肃、福建、河南、江西、贵州5省182村的调查与思考,0,厦门大学嘉庚学院
基于柔性传感器和加速度计的智能手势识别控制系统,0,北京化工大学
“冯如三号”高效超长航时无人滞空平台,0,北京航空航天大学
以“才”共治——20个“一带一路”合作国的在滇医学生调查研究,0,云南大学
“小店虽小，风景甚好”——“双循环”战略背景下的小店经济“微循环”活力研究,0,烟台大学
APP隐私协议对个人信息保护制度的挑战与应对——基于1036份问卷和150款APP的实证分析,0,武汉大学
“螺蛳壳”里如何做“道场”：城市更新中“留改拆”政策推进路径研究——以上海市春阳里、承兴里、张园为例,0,中共上海市委党校
基于量子传感的晶圆级电磁兼容测试设备,0,南京邮电大学
灵微智探——腿足型仿生灵巧机器鼠,0,北京理工大学
基于高性能锂基介质陶瓷的太赫兹天线阵列集成技术研究,0,天津大学
韧性视角下复合公共卫生风险多维协同治理策略研究,0,湖南工商大学
双向水气畅流的高效一体式可逆燃料电池,0,上海交通大学
基于参数感知的异种金属脉冲放电连接设备,0,重庆大学
逢“菌”之困到助“菌”成材：产业耦合视域下食用菌菌渣的超循环利用研究,0,山东大学（威海）
时政新闻如何面向青年讲好中国故事——基于福建省主流媒体及8978名青年调查数据的实证分析,1,福建师范大学
传承百年红色基因，汲取“根脉”奋进力量——创演话剧《初心》弘扬红船精神的实践探索,1,嘉兴学院
多孔金属阳极氧化物的形成机理研究及其应用,1,南京理工大学
航天轻质变刚度结构优化设计技术与应用,1,大连理工大学
大型飞行器变曲率蒙皮吸附式移动加工机器人系统,1,华中科技大学
开放量子关联系统中的演生现象研究,1,上海交通大学
高机动无舵两栖航行器推进系统关键技术研究,1,南京航空航天大学
基于智能超表面的5G网络覆盖增强系统,1,华中科技大学
“造血式”扶贫：少数民族地区基础教育资源配置效率的测度及均等化发展策略研究——来自甘孜州的实证调查,1,电子科技大学
基于咖啡酸酯的靶向纳米药剂和寄生蜂产品研制及其绿色防控桑青枯病和桑螟,1,江苏科技大学
技术赋能优质均衡——广东10市教育信息化推动义务教育优质均衡发展的调查研究,1,华南师范大学
职业放贷人甄别预警与法律规制研究——基于全量裁判文书的大数据挖掘,1,四川大学
基于中草药文化传播的儿童绘本创新实践研究,1,天津科技大学
红色文化助推乡村高质量发展研究——基于盐城市128个烈士命名镇村的调研,1,盐城师范学院
宝宝用电守护神——儿童安全智能电路转换器,1,安徽工业大学
面向人工智能应用的新型忆阻器机理、算法及电路研究,1,清华大学
基于刚柔融合结构的高性能模块化管道机器人,1,天津科技大学
金属管材三维自由弯曲成形技术与装备,1,南京航空航天大学
耦合气相辅助和Halbach磁化环的高效两相流雾化喷嘴,1,西安交通大学
双色飞秒全光纤激光及其多模态多光子光学成像,1,华南理工大学
益生活性海藻多糖的制备及应用,1,华南理工大学
基于界面“微雕”构筑多级有序结构“智造”柔性生理信号传感器,1,浙江理工大学
新卤醇法-钛硅分子筛催化制备环氧乙烷的方法,1,江西师范大学
农地经营权强度与农地投资：实践绩效与政策优化研究,1,华南农业大学
疫情冲击下惠企纾困政策分析与成效调研,1,上海财经大学
基于间接PμSL技术的反结构可编程柔性压电传感系统,1,西安交通大学
拓扑电路中新奇量子物态的理论设计研究——从拓扑绝缘体到马约拉纳零模,1,北京航空航天大学
“屏幕扶贫”视角下远程直播教育技术的创新-扩散的现状调查,1,中央民族大学
“稻花香里说丰年”基于深度学习的农作物病虫害智能识别防治方案,1,同济大学
用于人体硬组织替代的高强低模仿生梯度多孔纯钛支架材料,1,北京科技大学
适宜非常规油气开采工程的软物质密封材料,1,青岛科技大学
基于双曲超材料SPR光纤传感器的设计及应用于蛋白质和病毒检测,1,山东师范大学
快速融冰的理论及应用研究,1,山东大学（威海）
智囊——智能纳米囊泡技术及其组织修复应用,1,浙江大学
“刚柔并济”——面向穿戴设备自备电源的高能量无机电极材料的柔性化设计,1,北京科技大学
为有源头活水来：乡村振兴的金融可得性与协调发展对策——对东中西部27县1136农户的调研,1,湖南大学
海洋精灵-模块化多功能智能水面无人艇,1,天津大学
微秒级温度传感器动态校准系统,1,中国计量大学
化工气体泄漏智能眼——光谱视频相机及预警系统,1,南京大学
新型肿瘤微波精准消融关键技术及治疗仪的研制,1,南京航空航天大学
