Name,Prize,Uni
单目多光谱三维重构技术及其在医用内窥镜中的应用,0,上海交通大学
碳纤维复合材料自加热原位固化装备,0,南京航空航天大学
基于低阻复合式气动布局的垂直起降高速飞行平台,0,北京航空航天大学
仿生太阳能无人机,0,西北工业大学
快速救灾抢险高效自循环自吸离心泵关键技术研究,0,江苏大学
高精度多维力传感器及航天员生物力学测量系统,0,东南大学
新型轮毂电机车轮设计及其整车应用,0,清华大学
超高分辨率微波光子实时成像雷达,0,南京航空航天大学
软硬件联合优化的新型低功耗 5G 通信系统,0,清华大学
Mcontroller——跨维度机器人运动控制系统,0,北京航空航天大学
高性能量子数字签名系统,0,南京邮电大学
I Know You: 基于多源异构数据的分层用户建模通用框架,0,清华大学
基于深度学习的多传感融合手势识别与控制系统,0,江西财经大学
镓基液态金属表面结构和多场调控理化性质的研究及应用,0,北京航空航天大学
三维回转模拟微重力效应在线剪切体外细胞培养系统的构建,0,北京航空航天大学
用于高效细胞捕获的基于仿病毒结构的多级微球设计,0,上海交通大学
水稻粒重基因 qPE9-1 和 OsGASR9 的功能研究,0,扬州大学
免疫检查点 PD-1/PD-L1 (PD-L2)的调控机制研究,0,南通大学
褪黑素调节肠道代谢防控大肠杆菌型脑膜炎——基于肠-脑轴微生物代谢调控的研究,0,扬州大学
多元肿瘤标志物化学发光阵列芯片检测仪,0,扬州大学
高性能、低成本燃料电池阴极催化剂的开发,0,清华大学
基于电场操控的抗消磁反铁磁存储芯片器件,0,北京航空航天大学
基于掺杂诱导相转变设计高性能锂离子电池负极材料,0,复旦大学
高效热-光协同催化水制氢的机理研究,0,上海交通大学
高性能新型锌离子电池研制与优化机制研究,0,武汉理工大学
百年风华，劳工神圣——有关“一战”华工文化记忆的调查研究,0,上海大学
建设生态文明背景下的电力行业效率改进与减排优化研究,0,北京航空航天大学
精准扶贫中的贫困识别：福利损失与解决办法 ——基于西部、东部、东北的调研与实证研究,0,清华大学
“退之有道”：兼顾农户利益与社会效益的宅基地退出模式优化研究——基于浙江省 15 个县市区调研,0,浙江工商大学
行动起来，向滥用抗生素说不！——中国 13 省市 1345 家零售药店无处方销售抗生素情况调查及应对研究,0,浙江大学
生命的馈赠——器官捐献家庭意愿影响因素与对策研究,0,温州医科大学
基于供应链金融的“三维信用评价体系”助力中小微企业融资增信——对 140 家企业和 40 家金融机构的访谈调研,0,上海大学
护航“网生代”——Web3.0 时代未成年人网络权益软性保护路径研究,0,东南大学
科学育孙万家行—祖辈教养“2+X”课程开发与推广,0,上海师范大学
网络舆情“体制归因”演化机制及防控策略研究——基于 503 个教育网络舆情案例分析,0,福建师范大学
脑电反馈智能电针灸仪,1,江苏师范大学
低温射流加工微流道技术与装置,1,南京航空航天大学
辐射约束下核电站作业路径规划：辐射场快速构建与智能寻路算法,1,华南理工大学
复杂网络分形特性分析及其应用研究,1,西北工业大学
级联拉曼混频技术及颜色可选激光研究,1,温州大学
高效中红外宽波段可调谐激光光源,1,温州大学
模拟医生操作实现人机协同的血管介入手术人工智能装置,1,清华大学
基于叶轮泵的经皮心室辅助系统(AUXART)研发,1,南京医科大学
新型多功能活性菌生物质材料：二代生物乙醇生产和污水处理,1,江西师范大学
基于微流控技术的癌症早期检测芯片,1,北京工业大学
碱基增粘水凝胶材料的制备及其性能研究,1,长春工业大学
深紫外荧光双光谱溶解性有机物快速检测技术及其应用,1,南京大学
复杂锻件高温自动化三维测量系统,1,华中科技大学
便携式太赫兹危险液体检测仪,1,上海理工大学
大行程、无回退步进式压电驱动器研制,1,吉林大学
双轴深耕匀混智能化贴地播种复式作业机,1,扬州大学
半导体发光显示器件超薄微型化制造关键技术,1,华南理工大学
一种新型高压柱塞油泵装置的设计与实现,1,浙江工业大学
变废为宝——基于进化学习机制的全自动垃圾分类回收系统,1,广州大学
面向主动靶向给药的精确可控液态金属微机器人,1,苏州大学
增材—吹胀：新型铝合金液冷板的技术研发与应用,1,宁波大学
基于自动驾驶的芝麻联合收获机,1,青岛农业大学
无臭氧、低能耗、高灭菌效率的低温等离子体消毒柜,1,西安交通大学
桥梁钢结构裂纹实时监测系统,1,同济大学
分布式肌电采集柔性电子皮肤,1,华中科技大学
基于路面激励高速高精度动态压力传感技术与 IPv6 物联网的交通信息远程监测系统,1,广西大学
微注入式配电电缆绝缘劣化“不停电”监测装置,1,华中科技大学
面向水下探测与鱼群诱集的柔体仿生鱿鱼,1,上海海洋大学
基于主-副数字微镜的光纤器件数字光刻系统,1,南昌航空大学
三维高集成度第五代移动通信射频前端,1,南京邮电大学
人工智能辅助的 OFDM 无线传输系统：设计与实现,1,东南大学
大尺度高分辨光纤声波地层成像仪,1,华中科技大学
具有划时代意义的半匝绕组平面变压器技术,1,昆明理工大学
高性能平板型量子点荧光太阳集光器设计与应用,1,宁波大学
糖尿病视网膜病变智能筛查与辅助诊断系统 DeepDR,1,上海交通大学
智能无镜显微镜,1,华中科技大学
基于人工智能的自闭症谱系障碍早期筛查,1,西安电子科技大学
基于嵌入式视觉的导盲辅具,1,华东理工大学
基于 TMC 材料的新型类脑忆阻器的设计、制备与应用,1,南京邮电大学
动态立体 LED 舞台仿真控制系统,1,北京理工大学
广义 b-方程的孤立波分支,1,华南理工大学
具有特殊传输特性的新颖自加速与旋转光束的调制研究,1,华南师范大学
